departure_date,booking_date,cum_bookings
8/29/2012,7/26/2012,118
8/29/2012,7/27/2012,122
8/29/2012,7/28/2012,128
8/29/2012,7/29/2012,136
8/29/2012,7/30/2012,146
8/29/2012,7/31/2012,156
8/29/2012,8/1/2012,157
8/29/2012,8/2/2012,159
8/29/2012,8/3/2012,163
8/29/2012,8/4/2012,165
8/29/2012,8/5/2012,174
8/29/2012,8/6/2012,176
8/29/2012,8/7/2012,185
8/29/2012,8/8/2012,199
8/29/2012,8/9/2012,203
8/29/2012,8/10/2012,210
8/29/2012,8/11/2012,210
8/29/2012,8/12/2012,210
8/29/2012,8/13/2012,213
8/29/2012,8/14/2012,229
8/29/2012,8/15/2012,236
8/29/2012,8/16/2012,246
8/29/2012,8/17/2012,251
8/29/2012,8/18/2012,251
8/29/2012,8/19/2012,253
8/29/2012,8/20/2012,258
8/29/2012,8/21/2012,266
8/29/2012,8/22/2012,276
8/29/2012,8/23/2012,292
8/29/2012,8/24/2012,321
8/29/2012,8/25/2012,325
8/29/2012,8/26/2012,342
8/29/2012,8/27/2012,369
8/29/2012,8/28/2012,386
8/29/2012,8/29/2012,412
8/30/2012,7/1/2012,6
8/30/2012,7/2/2012,12
8/30/2012,7/3/2012,15
8/30/2012,7/4/2012,15
8/30/2012,7/5/2012,17
8/30/2012,7/6/2012,29
8/30/2012,7/7/2012,33
8/30/2012,7/8/2012,33
8/30/2012,7/9/2012,36
8/30/2012,7/10/2012,48
8/30/2012,7/11/2012,60
8/30/2012,7/12/2012,60
